iter	RMSE
0	237227.1585
1	218485.1157
2	201954.2816
3	186833.657
4	172953.255
5	159871.1023
6	148581.3614
7	138395.1901
8	127964.8281
9	118772.5441
10	111162.8807
11	103690.0808
12	96579.66248
13	89643.53767
14	83697.4716
15	78253.3856
16	73913.20341
17	69048.33813
18	65094.61157
19	61397.49197
20	57898.45968
21	54378.18888
22	52075.20109
23	49312.10802
24	46549.34798
25	44410.99334
26	42105.66651
27	39945.2155
28	38075.95485
29	36448.93214
30	34814.00821
31	33498.93848
32	32239.58062
33	30982.72639
34	29722.15466
35	28674.01242
36	27737.23914
37	26859.76013
38	26285.98429
39	25680.9664
40	24958.1224
41	24246.01599
42	23800.17484
43	23295.26198
44	22817.84325
45	22328.23663
46	21943.80575
47	21565.61524
48	21119.85149
49	20604.08167
50	20198.17597
51	19823.82447
52	19604.54712
53	19362.26186
54	19010.73126
55	18690.1637
56	18526.59461
57	18231.58346
58	18098.53286
59	17827.22309
60	17494.98817
61	17281.77992
62	16993.92336
63	16789.95042
64	16518.5882
65	16240.55065
66	16083.31144
67	15829.54412
68	15611.9892
69	15475.21119
70	15357.01358
71	15297.75761
72	15216.63105
73	15022.60378
74	14901.9395
75	14829.38185
76	14676.57778
77	14467.19891
78	14314.59046
79	14169.9559
80	14119.92783
81	14048.77544
82	13849.60471
83	13718.92697
84	13663.64328
85	13469.83166
86	13437.29121
87	13256.72454
88	13198.03698
89	13103.68769
90	12954.35363
91	12833.65284
92	12724.32609
93	12577.57785
94	12474.00562
95	12377.88378
96	12229.90273
97	12119.33386
98	12089.44264
99	12060.1261
