iter	Passed	Remaining
0	134	13335
1	139	6850
2	145	4700
3	150	3619
4	156	2970
5	162	2553
6	168	2243
7	174	2003
8	179	1818
9	185	1670
10	190	1543
11	196	1439
12	201	1351
13	207	1273
14	213	1207
15	218	1145
16	223	1091
17	229	1044
18	234	1000
19	239	959
20	245	922
21	250	886
22	255	854
23	261	828
24	266	800
25	272	776
26	278	753
27	284	731
28	289	709
29	295	688
30	300	668
31	306	650
32	311	632
33	317	616
34	323	601
35	328	584
36	334	569
37	340	555
38	345	540
39	351	526
40	356	513
41	362	500
42	367	486
43	372	474
44	377	461
45	382	449
46	387	437
47	393	425
48	398	414
49	404	404
50	408	392
51	413	382
52	419	371
53	424	361
54	428	350
55	435	341
56	440	332
57	445	322
58	451	313
59	455	303
60	461	295
61	466	285
62	471	276
63	476	267
64	481	259
65	485	250
66	489	241
67	494	232
68	500	224
69	505	216
70	510	208
71	516	200
72	521	192
73	526	185
74	532	177
75	538	169
76	543	162
77	548	154
78	553	147
79	559	139
80	565	132
81	570	125
82	574	117
83	580	110
84	585	103
85	589	95
86	594	88
87	598	81
88	602	74
89	606	67
90	611	60
91	615	53
92	619	46
93	623	39
94	628	33
95	632	26
96	636	19
97	641	13
98	645	6
99	649	0
